pid,bid,top-k,boost,boost.functions.count,boost.includes,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.functions.count,prune.includes,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,prune.profile.number,prune.profile.size,prune.profile.time,start,theta,inst_num,inst,percent2_1_1,percent2_1_0,percent2_1,percent2_2_0,percent2_2,percent3_1_0,percent3_1,percent3_2_0,percent3_2,percent4_1_0,percent4_1,percent4_2_0,percent4_2,max,min,drop,boost.mine.size,boost.mine.time,fine-grained.mine.size,fine-grained.mine.time,prune.mine.size,prune.mine.time
space,19_-,1,0.05,9.0,0.0,279.0,568016.0,1680.0,1523.0,7304.0,9375.0,10032.0,136.0,528.0,8963.0,0.0,8604.0,1968768.0,137427.0,137152.0,459136.0,567283.0,75020.0,153008.0,192966.0,37115.0,57.0,0.0,3461.0,1670364.0,37485.0,37225.0,184732.0,231763.0,41757.0,0.0,0.399591,160448.0,0.34945637022581544,5390.0,56110.0,0.7479338842975206,202869.0,0.35761515857164766,38748.0,0.2825186654223052,1670364.0,0.8484311000585137,49187.0,0.6186577113676955,5888.0,1.003408316291752,57.0,57.0,False,39152.0,0.0,1398016.0,194000.0,1039264.0,108000.0
space,19_-,5,0.05,9.0,0.0,279.0,568016.0,1680.0,1523.0,7304.0,9375.0,10032.0,136.0,528.0,8963.0,0.0,8604.0,1968768.0,137427.0,137152.0,459136.0,567283.0,75020.0,153008.0,192966.0,38319.0,57.0,0.0,3465.0,1670796.0,35366.0,35123.0,184732.0,231763.0,43265.0,0.0,0.390317,160448.0,0.34945637022581544,5086.0,57314.0,0.7639829378832311,202869.0,0.35761515857164766,36646.0,0.2671926038264116,1670796.0,0.8486505266237566,46546.0,0.5854400925716298,5800.0,0.9884117246080436,57.0,57.0,False,38512.0,0.0,1399216.0,175000.0,1036432.0,117000.0
space,19_-,10,0.05,9.0,0.0,279.0,568016.0,1680.0,1523.0,7304.0,9375.0,10032.0,136.0,528.0,8963.0,0.0,8604.0,1968768.0,137427.0,137152.0,459136.0,567283.0,75020.0,153008.0,192966.0,36839.0,57.0,0.0,3457.0,1670164.0,38361.0,38089.0,184732.0,231763.0,41931.0,0.0,0.375577,160448.0,0.34945637022581544,4940.0,55834.0,0.7442548653692349,202869.0,0.35761515857164766,39612.0,0.2888182454503033,1670164.0,0.8483295136857162,50599.0,0.6364173773048575,5792.0,0.9870483980913429,57.0,57.0,False,38864.0,0.0,1399200.0,194000.0,1038528.0,113000.0
space,20_-,1,0.05,9.0,0.0,264.0,570000.0,1515.0,1383.0,8272.0,10551.0,8247.0,136.0,528.0,7543.0,0.0,4208.0,1925508.0,77805.0,77592.0,459134.0,567278.0,53437.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.370809,8408.0,0.018312736586704535,8246.0,15790.0,0.29548814491831504,11083.0,0.01953715814820952,1383.0,0.017824002474481904,570000.0,0.2960257760549424,1339.0,0.023722627737226276,5860.0,1.0131396957123098,68.0,0.0,False,30416.0,0.0,1085264.0,138000.0,,
space,20_-,5,0.05,9.0,0.0,264.0,570000.0,1515.0,1383.0,8272.0,10551.0,8247.0,136.0,528.0,7543.0,0.0,4208.0,1925508.0,77805.0,77592.0,459134.0,567278.0,53437.0,205624.0,257255.0,46063.0,68.0,0.0,3581.0,1723812.0,48104.0,47850.0,233378.0,291210.0,48731.0,0.0,0.353785,214032.0,0.46616456197972705,5579.0,61853.0,1.1574938712876846,268334.0,0.47302028282429426,49233.0,0.6345112898236932,1723812.0,0.8952505001277585,58374.0,1.0341931826234851,5860.0,1.0131396957123098,68.0,0.0,False,29744.0,0.0,1085008.0,136000.0,1060704.0,123000.0
space,20_-,10,0.05,9.0,0.0,264.0,570000.0,1515.0,1383.0,8272.0,10551.0,8247.0,136.0,528.0,7543.0,0.0,4208.0,1925508.0,77805.0,77592.0,459134.0,567278.0,53437.0,205624.0,257255.0,46763.0,68.0,0.0,3581.0,1738468.0,45403.0,45188.0,233378.0,291210.0,48146.0,0.0,0.339963,214032.0,0.46616456197972705,6864.0,62553.0,1.1705934090611374,268334.0,0.47302028282429426,46571.0,0.6002036292401278,1738468.0,0.9028619979766379,56836.0,1.0069449365743037,5860.0,1.0131396957123098,68.0,0.0,False,29760.0,0.0,1100096.0,138000.0,1050112.0,129000.0
space,21_-,1,0.05,9.0,0.0,264.0,569904.0,1502.0,1356.0,8272.0,10551.0,7729.0,136.0,528.0,6904.0,0.0,4208.0,1928664.0,81489.0,81222.0,459134.0,567278.0,58703.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.370809,8408.0,0.018312736586704535,7730.0,14634.0,0.2492887927363167,11083.0,0.01953715814820952,1356.0,0.016694984117603603,569904.0,0.2954915941812571,1800.0,0.02901728140314676,5816.0,1.0041436464088398,68.0,0.0,False,30320.0,0.0,1088112.0,134000.0,,
space,21_-,5,0.05,9.0,0.0,264.0,569904.0,1502.0,1356.0,8272.0,10551.0,7729.0,136.0,528.0,6904.0,0.0,4208.0,1928664.0,81489.0,81222.0,459134.0,567278.0,58703.0,205624.0,257255.0,45535.0,68.0,0.0,3581.0,1741148.0,48473.0,48161.0,233378.0,291210.0,49560.0,0.0,0.353785,214032.0,0.46616456197972705,3704.0,60168.0,1.0249561351208627,268334.0,0.47302028282429426,49517.0,0.6096500948019009,1741148.0,0.902774148322362,62804.0,1.0124451895795719,5896.0,1.0179558011049723,68.0,0.0,False,29472.0,0.0,1098032.0,132000.0,1045104.0,130000.0
space,21_-,10,0.05,9.0,0.0,264.0,569904.0,1502.0,1356.0,8272.0,10551.0,7729.0,136.0,528.0,6904.0,0.0,4208.0,1928664.0,81489.0,81222.0,459134.0,567278.0,58703.0,205624.0,257255.0,44465.0,68.0,0.0,3578.0,1715676.0,52312.0,52061.0,233378.0,291210.0,50362.0,0.0,0.339963,214032.0,0.46616456197972705,1832.0,59098.0,1.0067287872851474,268334.0,0.47302028282429426,53417.0,0.6576666420427962,1715676.0,0.889567078558007,57767.0,0.9312451637864329,5836.0,1.007596685082873,68.0,0.0,False,30144.0,0.0,1098688.0,138000.0,1058704.0,130000.0
space,22_-,1,0.05,1.0,0.0,577.0,309376.0,1312.0,1181.0,7272.0,9293.0,9186.0,136.0,528.0,7842.0,0.0,4796.0,1924848.0,87065.0,86845.0,457266.0,564999.0,79884.0,224784.0,280711.0,46275.0,62.0,0.0,4193.0,1757904.0,49898.0,49650.0,260370.0,324146.0,54592.0,0.0,0.18449000000000002,232192.0,0.507783215896218,869.0,63303.0,0.7924365329728106,290532.0,0.5142168393218395,50831.0,0.585307156428119,1757904.0,0.9132689957856412,54677.0,1.0116378034339846,5884.0,1.0068446269678302,62.0,62.0,False,26768.0,0.0,1191536.0,128000.0,1160288.0,114000.0
