#percentage ARBI
0.275982666 0.560505
0.299137478 0.562735
0.330977286 0.562793
0.337488344 0.564992
0.525633592 0.567524
0.527069337 0.581745
0.550226539 0.580694
0.552387926 0.592729
0.600872684 0.595006
0.605929468 0.59939
