name,branch_iter,branch_perd
v6_subv44,104,2.83
v6_subv45,315,8.42
v6_subv46,102,2.64
v6_subv47,369,10.62
v6_subv48,473,14.6
v6_subv49,474,12.18
v6_subv50,222,5.5
v6_subv51,90,2.51
v6_subv52,100,2.67
v6_subv53,299,7.39
v6_subv54,577,18.19
v6_subv55,257,6.8
v6_subv56,63,1.34
v6_subv57,81,1.34
v6_subv58,195,4.33
v6_subv59,829,28.2
v6_subv60,730,24.6
v6_subv61,200,5.71
v6_subv63,3,0.09
v6_subv64,555,17.61
v6_subv65,90,2.65
v6_subv66,307,8.9
v6_subv67,254,6.88
v6_subv69,465,15.07
v6_subv7,171,3.54
v6_subv70,461,14.7
v6_subv71,415,13.83
v6_subv72,332,9.81
v6_subv73,90,2.83
v6_subv74,200,6.74
v6_subv75,180,5.72
v6_subv76,265,8.21
v6_subv77,83,2.79
v6_subv78,194,6.35
v6_subv8,250,5.94
v6_subv80,80,1.86
v6_subv82,418,14.44
v6_subv84,86,2.04
v6_subv85,238,7.5
v6_subv86,536,20.23
v6_subv87,203,6.57
v6_subv88,645,23.84
v6_subv89,308,10.91
v6_subv9,2,0.01
v6_subv90,428,14.7
v6_subv91,197,5.88
v6_subv92,201,6.58
v6_subv93,201,6.59
v6_subv94,229,7.04
v6_subv95,452,17.23
v6_subv96,377,13.59
v6_subv97,161,5.49
v6_subv98,250,8.99
v6_subv99,188,6.36
