,pid,bid,top-k,boost,boost.functions.count,boost.includes,boost.mine.size,boost.mine.time,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.mine.size,fine-grained.mine.time,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.functions.count,prune.includes,prune.mine.size,prune.mine.time,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,prune.profile.number,prune.profile.size,prune.profile.time,start,theta
17,bash,1_2,10,0.05,59.0,0.0,5896.0,2922.0,2836.0,1448540.0,7525.0,7344.0,128606.0,40880.0,117235.0,0.0,0.0,0.0,0.0,5804.0,15489.0,8930.0,2537336.0,110798.0,110504.0,0.0,0.0,0.0,1018944.0,311732.0,151214.0,203.0,0.0,5832.0,13924.0,7210.0,1836532.0,45165.0,44962.0,0.0,0.0,0.0,0.0,0.057257
18,bash,1_3,1,0.05,40.0,0.0,5872.0,8759.0,3208.0,1451696.0,7823.0,7658.0,157862.0,49332.0,119107.0,1458.0,4812.0,114915.0,0.0,5792.0,15936.0,8066.0,2615132.0,111500.0,111224.0,3395938.0,1019052.0,224392.0,1024140.0,313260.0,153007.0,213.0,0.0,5864.0,14231.0,6755.0,1731904.0,52375.0,52155.0,0.0,0.0,0.0,0.0,0.075491
19,bash,1_3,5,0.05,40.0,0.0,5864.0,3954.0,3216.0,1451572.0,7811.0,7601.0,157862.0,49332.0,119570.0,0.0,0.0,0.0,0.0,5960.0,15310.0,8066.0,2403216.0,119191.0,118896.0,0.0,0.0,0.0,1024140.0,313260.0,152874.0,213.0,0.0,5816.0,14151.0,6749.0,1729552.0,53360.0,53103.0,0.0,0.0,0.0,0.0,0.063525
20,bash,1_3,10,0.05,40.0,0.0,5880.0,5261.0,3209.0,1451396.0,7743.0,7550.0,157862.0,49332.0,119159.0,0.0,0.0,0.0,0.0,5852.0,15086.0,8066.0,2552436.0,104168.0,103905.0,0.0,0.0,0.0,1024140.0,313260.0,154676.0,213.0,0.0,5808.0,14433.0,6755.0,1730692.0,54961.0,54719.0,0.0,0.0,0.0,0.0,0.057257
21,bash,1_4,1,0.05,85.0,0.0,5856.0,2818.0,2700.0,1457504.0,9544.0,9332.0,132664.0,42332.0,117833.0,1458.0,4812.0,112918.0,0.0,5896.0,29504.0,11819.0,2628884.0,149086.0,148792.0,3395944.0,1019064.0,213224.0,1008940.0,308380.0,150027.0,177.0,0.0,5792.0,17753.0,6143.0,1880392.0,36951.0,36584.0,0.0,0.0,0.0,0.0,0.044709
22,bash,1_4,5,0.05,85.0,0.0,5820.0,2454.0,2702.0,1456380.0,9640.0,9404.0,132664.0,42332.0,118324.0,0.0,0.0,0.0,0.0,5836.0,30049.0,11819.0,2520620.0,149155.0,148847.0,0.0,0.0,0.0,1091188.0,333020.0,153412.0,235.0,0.0,5844.0,24696.0,7813.0,1953840.0,56033.0,55736.0,0.0,0.0,0.0,0.0,0.035463999999999996
23,bash,1_4,10,0.05,85.0,0.0,5848.0,2353.0,2699.0,1457008.0,9657.0,9431.0,132664.0,42332.0,117801.0,0.0,0.0,0.0,0.0,5816.0,29484.0,11819.0,2873300.0,156520.0,156232.0,0.0,0.0,0.0,1091188.0,333020.0,152304.0,235.0,0.0,5796.0,26203.0,7812.0,1753072.0,53858.0,53643.0,0.0,0.0,0.0,0.0,0.032456
24,bash,1_5,1,0.05,70.0,0.0,5792.0,9304.0,3409.0,1464932.0,11912.0,11721.0,147986.0,46972.0,120620.0,1458.0,4812.0,116880.0,0.0,5788.0,32780.0,11198.0,2824024.0,158677.0,158283.0,3395554.0,1018920.0,229206.0,965366.0,295432.0,158497.0,180.0,0.0,5968.0,27313.0,6197.0,1707392.0,66793.0,66428.0,0.0,0.0,0.0,0.0,0.044709
25,bash,1_5,5,0.05,70.0,0.0,5856.0,21852.0,3411.0,1461444.0,47538.0,47005.0,147986.0,46972.0,121235.0,0.0,0.0,0.0,0.0,5828.0,34924.0,11198.0,2315644.0,157107.0,156674.0,0.0,0.0,0.0,979364.0,299600.0,159622.0,184.0,0.0,5832.0,25865.0,6674.0,1710812.0,47969.0,47670.0,0.0,0.0,0.0,0.0,0.041595
26,bash,1_5,10,0.05,70.0,0.0,5868.0,9324.0,3409.0,1464536.0,12157.0,11779.0,147986.0,46972.0,124453.0,0.0,0.0,0.0,0.0,5788.0,33235.0,11198.0,2313184.0,159395.0,159024.0,0.0,0.0,0.0,979364.0,299600.0,156479.0,184.0,0.0,5832.0,28696.0,6675.0,1712492.0,54451.0,54162.0,0.0,0.0,0.0,0.0,0.040264999999999995
