,pid,bid,top-k,boost,boost.functions.count,boost.includes,boost.mine.size,boost.mine.time,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.mine.size,fine-grained.mine.time,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.functions.count,prune.includes,prune.mine.size,prune.mine.time,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,start,theta
24,grep,1_3,1,0.05,4.0,0.0,5836.0,4251.0,3088.0,1143220.0,4749.0,4576.0,58328.0,51252.0,41304.0,123.0,3276.0,16530.0,0.0,5720.0,527308.0,16777.0,2281408.0,207770.0,207471.0,1098644.0,892516.0,195672.0,456496.0,370256.0,59544.0,46.0,0.0,5792.0,248316.0,13668.0,1893368.0,107459.0,107153.0,0.0,0.70934
25,grep,1_3,5,0.05,4.0,0.0,5828.0,4577.0,3088.0,1150788.0,5158.0,4976.0,58328.0,51252.0,41548.0,0.0,0.0,0.0,0.0,5816.0,538287.0,16777.0,2270072.0,220649.0,220310.0,0.0,0.0,0.0,456496.0,370256.0,59541.0,46.0,0.0,5852.0,257482.0,13667.0,1893412.0,131357.0,0.0,0.0,0.674643
26,grep,1_3,10,0.05,4.0,0.0,5792.0,6457.0,3088.0,1143712.0,5228.0,5028.0,58328.0,51252.0,43828.0,0.0,0.0,0.0,0.0,5744.0,561482.0,16777.0,2350220.0,260718.0,260408.00000000003,0.0,0.0,0.0,456496.0,370260.0,62676.0,46.0,0.0,5728.0,258590.0,13668.0,1894156.0,115292.0,0.0,0.0,0.667572
27,gzip,1_15,1,0.05,5.0,0.0,5856.0,1277.0,4290.0,725172.0,3581.0,3400.0,169470.0,45148.0,389124.0,81.0,864.0,14049.0,0.0,5908.0,61544.0,27604.0,2550756.0,112272.0,111619.0,3434614.0,759780.0,680085.0,270362.0,57096.0,20361.0,9.0,0.0,5824.0,1552.0,1280.0,741464.0,4726.0,4553.0,0.0,0.291636
28,gzip,1_15,5,0.05,5.0,0.0,5792.0,1206.0,4290.0,724448.0,3537.0,3354.0,169470.0,45148.0,396961.0,0.0,0.0,0.0,0.0,5824.0,70392.0,27604.0,2731008.0,105422.0,105128.0,0.0,0.0,0.0,1319654.0,308108.0,225934.0,34.0,0.0,5828.0,65301.0,26767.0,1781772.0,53819.0,53567.0,0.0,0.185128
29,gzip,1_15,10,0.05,5.0,0.0,5824.0,1276.0,4290.0,725104.0,3572.0,3422.0,169470.0,45148.0,391975.0,0.0,0.0,0.0,0.0,5832.0,64772.0,27604.0,2517668.0,104166.0,103887.0,0.0,0.0,0.0,1319654.0,308108.0,223680.0,34.0,0.0,5856.0,60690.0,26767.0,1770576.0,44128.0,0.0,0.0,0.173492
30,gzip,1_16,1,0.05,2.0,0.0,5800.0,2557.0,53.0,585988.0,2736.0,2576.0,193886.0,40908.0,18855.0,81.0,864.0,13735.0,0.0,5864.0,1479.0,1044.0,2372824.0,59271.0,58927.0,3441456.0,759636.0,782654.0,263572.0,55392.0,19888.0,9.0,0.0,5792.0,3209.0,604.0,1127652.0,6182.0,6024.0,0.0,0.312733
31,gzip,1_16,5,0.05,2.0,0.0,5824.0,1644.0,53.0,587740.0,2856.0,2684.0,193886.0,40908.0,18297.0,0.0,0.0,0.0,0.0,5788.0,2462.0,1044.0,2447140.0,59479.0,59170.0,0.0,0.0,0.0,287758.0,60504.0,20699.0,10.0,0.0,5840.0,1971.0,712.0,1165016.0,8273.0,8042.0,0.0,0.171701
32,gzip,1_16,10,0.05,2.0,0.0,5908.0,1758.0,53.0,588108.0,2994.0,2820.0,193886.0,40908.0,18013.0,0.0,0.0,0.0,0.0,5900.0,1655.0,1044.0,2299800.0,53600.0,53305.0,0.0,0.0,0.0,287758.0,60504.0,20955.0,10.0,0.0,5796.0,3233.0,712.0,1166512.0,8884.0,0.0,0.0,0.171701
33,gzip,2_1,1,0.05,5.0,0.0,5836.0,2093.0,5331.0,1116244.0,4777.0,4633.0,233158.0,59196.0,212784.0,98.0,864.0,13279.0,0.0,5816.0,162392.0,27437.0,2852388.0,88488.0,88142.0,4032690.0,882196.0,460729.0,1254434.0,286628.0,163744.0,31.0,0.0,5828.0,123615.0,21926.0,1749340.0,43933.0,43732.0,0.0,0.719948
34,gzip,2_1,5,0.05,5.0,0.0,5784.0,1549.0,5331.0,1112004.0,4500.0,4332.0,233158.0,59196.0,204490.0,0.0,0.0,0.0,0.0,5824.0,155287.0,27437.0,2722088.0,87563.0,87285.0,0.0,0.0,0.0,1254434.0,286628.0,164652.0,33.0,0.0,5836.0,115606.0,22255.0,1772908.0,45222.0,44991.0,0.0,0.658318
35,gzip,2_1,10,0.05,5.0,0.0,5832.0,3551.0,5331.0,1110488.0,4692.0,4545.0,233158.0,59196.0,204634.0,0.0,0.0,0.0,0.0,5824.0,160341.0,27437.0,2562492.0,99908.0,99564.0,0.0,0.0,0.0,1254434.0,286628.0,166831.0,33.0,0.0,5792.0,117636.0,22255.0,1760976.0,45651.0,0.0,0.0,0.603835
36,gzip,2_3,1,0.05,14.0,0.0,5792.0,2671.0,913.0,748688.0,4177.0,4033.000000000001,248164.0,54440.0,24274.0,98.0,864.0,13210.0,0.0,5744.0,470761.0,42282.0,2679928.0,174102.0,173749.0,4032690.0,883728.0,737210.0,1403940.0,330400.0,595947.0,36.0,0.0,5776.0,428427.0,41336.0,1879944.0,87818.0,87586.0,0.0,0.349774
37,gzip,2_3,5,0.05,14.0,0.0,5836.0,2145.0,913.0,748832.0,4224.0,4080.0,248164.0,54440.0,20475.0,0.0,0.0,0.0,0.0,5768.0,465651.0,42282.0,2982928.0,153708.0,153360.0,0.0,0.0,0.0,1403940.0,330400.0,580792.0,36.0,0.0,5768.0,413868.0,41336.0,1877788.0,105087.0,0.0,0.0,0.308943
